"Date Made Public","Name","Entity","Type","Street Address","Location",", ","Postal Code","Total Records","Records Breached","","","","","Attached files","","All terms"
"March 11, 2005","University of California, Berkeley","EDU","PORT","","Berkeley","California","","98,369","98,400","","A laptop containing the Social Security numbers of doctoral degree recipients from 1976 to 1999, graduate students enrolled between 1989 and 2003, and graduate school applicants between fall 2001 and spring of 2004 was stolen.  Birth dates and addresses for about one-third of the affected people were also on the laptop.","","Dataloss DB","","98369","2005"
"March 11, 2005","Kaiser Permanente","MED","DISC","","Oakland","California","","140","140","","A disgruntled employee 
            posted information on her blog noting that Kaiser Permanente included 
            private patient information on systems diagrams posted on the Web. 
            
            UPDATE (6/21/2005): The California Department of Managed 
            Health Care fined Kaiser $200,000 for exposing the confidential health 
            information.","","Dataloss DB","","140","2005"
"March 11, 2005","Boston College","EDU","HACK","","Boston","Massachusetts","","120,000","120,000","","A hacker gained access to a phone banking database that included alumni addresses and Social Security numbers.","","Dataloss DB","","120000","2005"
"March 12, 2005","Las Vegas Department of Motor Vehicles (LV DMV)","GOV","STAT","","Las Vegas","Nevada","","8,900","8,900","","A computer and holographic 
laminate materials were stolen from the Donovan office of the DMV in 
North Las Vegas. UPDATE. The equipment was 
recovered on June 1. ","","Dataloss DB","","8900","2005"
"March 20, 2005","Northwestern University","EDU","HACK","","Evanston","Illinois","","17,500","17,500","","Hackers gained access to multiple computers and gathered user ID and password information from the University's network.  The personal information for around 500 faculty members, 2000 staff members, and 14,000 alumni was compromised.  ","","Media","","17500","2005"
"March 20, 2005","University of Nevada, Las Vegas","EDU","HACK","","Las Vegas","Nevada","","5,000","5,000","","A hacker was caught accessing the University's server and may have gotten information from the Student Exchange and Visitor Information System (SEVIS).","","Dataloss DB","","5000","2005"
"March 16, 2005","California State University, Chico","EDU","HACK","","Chico","California","","59,000","59,000","","A university housing and food service computer server containing names and Social Security numbers of faculty, staff, students, former students, and prospective students was hacked.","","Dataloss DB","","59000","2005"
"March 25, 2005","Purdue University","EDU","HACK","","West Lafayette","Indiana","","","1,200             (not included in total because news stories are not clear if SSNs              or financial information were exposed)","","Computers in the College              of Liberal Arts' Theater Dept. were hacked, exposing personal information              of employees, students, graduates, and business affiliates.","","Dataloss DB","","","2005"
"May 14, 2005","Georgia Technology Authority (GTA)","GOV","INSD","","Atlanta","Georgia","","465,000","465,000","","A former computer programmer for Georgia Technology Authority downloaded state driver's license information which contained names, addresses, driver's license numbers, and in some cases Social Security numbers.","","Dataloss DB","","465000","2005"
"April 5, 2005","MCI","BSO","PORT","","Colorado Springs","Colorado","","16,500","16,500","","A laptop containing names and Social Security numbers of current and
former employees was stolen from the car trunk of an MCI financial
analyst.  An MCI spokesperson stated that MCI would continue its policy
of allowing laptops to be taken home by employees and will evaluate new
security technologies.","","Dataloss DB","","16500","2005"
"April 5, 2005","University of California, Davis","EDU","HACK","","Davis","California","","1,100","1,100","","The names and Social Security 
            numbers of students, faculty, visiting speakers and staff may have 
            been compromised when a hacker accessed a main computer.","","Dataloss DB","","1100","2005"
"April 6, 2005","University of California, San Francisco (UCSF)","EDU","HACK","","San Francisco","California","","7,000","7,000","","A server in the accounting 
            and personnel departments was hacked. It contained information on 
            7,000 students, faculty, and staff members. The affected individuals 
            were notified March 23.","","Dataloss DB","","7000","2005"
"April 8, 2005","Eastern National","NGO","HACK","","Ft. Washington","Pennsylvania","","15,000","15,000","","A hacker gained access to a server containing the names, credit card information, and billing addresses of 15,000 customers.  Letters were mailed to all customers who bought products through the educational website for national parks.","","Dataloss DB","","15000","2005"
"April 8, 2005","San Jose Medical Group","MED","STAT","","San Jose","California","","187,000","187,000","","UPDATE(10/10/07): 
              A former branch manager at the San Jose Medical Group has been sentenced 
              to almost two years in prison for stealing medical records for about 
              187,000 patients. The accused pleaded guilty in May to one count 
              of health care-related theft after he stole computer equipment from 
              his former employer, including a DVD that contained patients' names, 
              Social Security numbers, medical diagnoses and other information.","","Dataloss DB","","187000","2005"
"April 11, 2005","Tufts University","EDU","HACK","","Boston","Massachusetts","","106,000","106,000","RuffaloCODY is the software management company.","The University's donor database was breached sometime in late 2004.  The database was managed by a software company for nonprofit organizations named RuffaloCODY.  Letters were sent to the alumni who may have had their personal information stolen.","","Dataloss DB","","106000","2005"
"April 15, 2005","Polo Ralph Lauren, HSBC","BSR","HACK","","New York","New York","","180,000","180,000","","Credit card data was stolen. Individuals holding the HSBC-issued General Motors Mastercard were told their cards should be replaced.              UPDATE(07/10/07): U.S. Secret Service 
              agents found Ralph Polo Lauren customers' credit card numbers in 
              the hands of Eastern European cyber thieves who created high-quality 
              counterfeit credit cards. Victims are from the U.S., Europe, Asia 
              and Canada, among other places, Several Cuban nationals in Florida 
              were arrested with more than 200,000 credit card account numbers.","","Dataloss DB","","180000","2005"
"April 15, 2005","California Department of Health Services","GOV","PORT","","Sacramento","California","","21,600","21,600","","A laptop containing the names, Social Security numbers, and medical information of Medi-Cal beneficiaries was stolen from the car trunk of an employee.  The Department of Health Services began notifying beneficiaries in late May.","","Dataloss DB","","21600","2005"
"April 20, 2005","TD Ameritrade","BSF","PORT","","Omaha","Nebraska","","200,000","200,000","","A backup tape was lost, stolen, or accidentally destroyed while being shipped.  The tape contained account information from clients or former clients between the years of 2001 and 2003.  Ameritrade notified the affected clients and offered one free year of credit protection services.","","Dataloss DB","","200000","2005"
"April 21, 2005","Carnegie Mellon University","EDU","HACK","","Pittsburgh","Pennsylvania","","19,000","19,000","","The compromised information included Social Security numbers and grades from master's alumni classes 1997 through 2004, job offer information from master's alumni classes 1985 through 2004, contact information for all alumni, and Social Security numbers and grades from doctoral students enrolled between 1998 and 2004.  Between 5,000 and 6,000 of those affected had their credit card information and Social Security numbers compromised. Emails and letters were sent to those who were affected.","","Dataloss DB","","19000","2005"
"April 26, 2005","Michigan State University's Wharton Center","EDU","HACK","","East Lansing","Michigan","","40,000","40,000","","A hacker may have stolen the credit card information of visitors attending a performing arts venue.  Warnings were sent to Wharton visitors who used their credit cards anytime between September of 2003 and the incident.","","Dataloss DB","","40000","2005"
"April 26, 2005","Christus St. Joseph's Hospital","MED","STAT","","Houston","Texas","","16,000","16,000","","Two computers used for converting paper medical records into digital files were stolen.  One of the computers contained Social Security numbers and medical records for hundreds of patients.  Letters were sent to about 16,000 patients.","","Dataloss DB","","16000","2005"
"April 28, 2005","Georgia Southern University","EDU","HACK","","Stateboro","Georgia","","20,000","tens of 
            thousands (at least 20,000)","","Hackers accessed a University server which contained thousands of credit card and Social Security numbers collected over three years.  Students who received bookstore credit through scholarship or financial aid between the fall 2003 and spring of 2005 semesters, and anyone who made credit purchases at campus stores, stadium, or website are at risk.  Email alerts were sent to students and alumni.","","Dataloss DB","","20000","2005"
"April 28, 2005","Wachovia, Bank of America, PNC Financial Services Group and Commerce Bancorp","BSF","INSD","","Hackensack","New Jersey","","676,000","676,000","Note: location listed is the corporate headquarters of Bank of America, not necessarily where the breach occurred.","Bank employees illegally sold account information to someone posing as a collection agency.  Customers affected were notified and received one year of free credit monitoring services. ","","Dataloss DB","","676000","2005"
"April 29, 2005","Oklahoma State University","EDU","PORT","","Stillwater","Oklahoma","","37,000","37,000","","A laptop used for student job placement seminars was lost or stolen.  It contained the Social Security numbers of current and former students.","","Dataloss DB","","37000","2005"
"May 2, 2005","Time Warner, Iron Mountain Inc.","BSO","PORT","","New York","New York","","600,000","600,000","","Backup tapes containing the personal information of current and former employees from as far back as 1986 was lost or stolen during shipping. An 800 number was set up to answer questions and provide free credit monitoring for one year.UPDATE (5/3/2005): A contractor named Iron Mountain Inc. lost the tapes during shipping. ","","Dataloss DB","","600000","2005"
"May 4, 2005","Colorado Health Department","GOV","PORT","","Denver","Colorado","","1,600","1,600 
            (families)","","A laptop containing Social Security numbers, medical records, family medical history, and addresses was stolen from an employee's car.  The State Health Department is not monitoring the affected group and has only contacted some of the families involved.","","Dataloss DB","","1600","2005"
"May 5, 2005","Purdue University","EDU","HACK","","West Lafayette","Indiana","","11,360","11,360","","Hackers accessed a program which contained University credit card information and the Social Security numbers of current and former employees. Letters were sent to employees and former employees.","","Dataloss DB","","11360","2005"
"May 7, 2005","Department of Justice","GOV","PORT","","Washington","District Of Columbia","","80,000","80,000","The laptop was stolen from Omega World Travel of Fairfax, VA.","A laptop containing password protected names and travel account credit card information was stolen sometime between May 7 and May 9.","","Dataloss DB","","80000","2005"
"May 11, 2005","Stanford University","EDU","HACK","","Stanford","California","","9,900","9,900","","The University's Career Development Center was hacked. This exposed the names, Social Security numbers, and other personal information of users. Names and credit card information for some employers that registered with the site were also in the database.","","Dataloss DB","","9900","2005"
"May 12, 2005","Hinsdale Central High School","EDU","HACK","","Hinsdale","Illinois","","2,400","2,400","","Two students were accused of hacking into the School's computer system and stealing student and staff Social Security numbers.  The students had the information for months before being caught.  Letters were sent to affected families. The Social Security Administration and the Federal Trade Commission were also notified.","","Dataloss DB","","2400","2005"
"May 16, 2005","Westborough Bank","BSF","INSD","","Westborough","Massachusetts","","750","750","","A former employee who ran an investment program from 1998 to 2001 may have given Social Security numbers and account information to a convicted felon known for defrauding senior citizens.  The bank mailed warning letters.","","Dataloss DB","","750","2005"
"May 18, 2005","Jackson Community College","EDU","HACK","","Jackson","Michigan","","8,000","8,000","","A hacker may have downloaded the passwords and Social Security numbers of employees and students.  The College sent new, high security passwords to students and employees.","","Dataloss DB","","8000","2005"
"May 18, 2005","University of Iowa","EDU","HACK","","Iowa City","Iowa","","30,000","30,000","","A computer containing credit card numbers and campus ID numbers for University Book Store customers was breached by a hacker.","","Dataloss DB","","30000","2005"
"May 19, 2005","Valdosta State University","EDU","HACK","","Valdosta","Georgia","","40,000","40,000","","A computer server containing campus ID card information and Social Security numbers was hacked. The cards were designed to be used as debit cards by students and employees.","","Dataloss DB","","40000","2005"
"June 4, 2005","Duke University Medical Center","EDU","HACK","","Durham","North Carolina","","","14,000 (No reports of full SSNs or financial information)","","A hacker broke into the computer system, stealing thousands of passwords and fragments of Social Security numbers.  Fourteen thousand affected people were notified, including 10,000 employees of Duke University Medical Center.","","Dataloss DB","","","2005"
"May 27, 2005","Cleveland State University","EDU","PORT","","Cleveland","Ohio","","44,420","44,420","","A laptop containing personal information from applicants, current students, and former students was stolen from the University's admissions office.  The information included Social Security numbers and addresses from as far back as 2001.  Letters were sent to those affected.   UPDATE 
            (12/24/05):CSU 
            found the stolen laptop","","Dataloss DB","","44420","2005"
"May 28, 2005","Merlin Information Services","BSO","INSD","","Kalispell","Montana","","5,875","5,875","","An individual fraudulently obtained personal information about thousands of victims 
from Merlin Information Services and used that information to commit 
identity theft by opening up credit card accounts. He posed as a private investigator, thus giving Merlin the impression that he was a legitimate user of their services. He conducted at least 1,873 queries through the Merlin system to 
obtain information on approximately 5,875 people.

","","Media","","5875","2005"
"May 30, 2005","Motorola","BSO","STAT","","Schaumburg","Illinois","","","Unknown","","Two computers were stolen from third party vendor Affiliated Computer Services (ACS).  They had security safeguards and contained names and Social Security numbers of Motorola employees.  Motorola notified affected staff by email and offered fraud insurance coverage.","","Dataloss DB","","","2005"
"June 6, 2005","Citigroup, UPS","BSF","PORT","","New York","New York","","3,900,000","3,900,000","","Customers are being notified that backup tapes containing their account information were lost or stolen while being shipped by UPS.","","Dataloss DB","","3900000","2005"
"June 10, 2005","Federal Deposit Insurance Corp. (FDIC)","GOV","UNKN","","Washington","District Of Columbia","","6,000","6,000","","Personal information including the names, birthdays, salaries, and Social Security numbers of former Federal Deposit Insurance Corporation employees was stolen.  Some of the information was used for fraudulent purposes.  Affected employees from as far back as July 2002 were notified.","","Dataloss DB","","6000","2005"
"June 16, 2005","CardSystems","BSF","HACK","","Tucson","Arizona","","40,000,000","40,000,000","The motion to dismiss by Savvis: http://www.box.net/shared/static/180zctq8dz.pdf","Over 40 million card accounts 
            were exposed to potential fraud due to a security breach that occurred 
            at a third-party processor of payment card transactions. Of the more 
            than 40 million accounts exposed, information on 68,000 Mastercard 
            accounts, 100,000 Visa accounts and 30,000 accounts from other card 
            brands are known to have been exported by the hackers. The data exported 
            included names, card numbers and card security codes.UPDATE (2/23/2006) CardSystems agreed to settle Federal Trade Commission charges that it failed to take appropriate security measures to protect sensitive personal information. The company must implement a comprehensive security program and obtain audits every 2 years for 20 years.UPDATE (5/12/2006) CardSystems filed for bankruptcy.UPDATE
            (5/28/2009)

            Merrick Bank has launched a multi-million dollar lawsuit against Savvis, 
            accusing the vendor of erroneously telling it that CardSystems Solutions 
            complied with Visa and MasterCard security regulations less than a 
            year before the payment processor's systems were hacked, compromising 
            up to 40 million credit card accounts. Less than a year later the 
            security breach occurred. Hackers were able to get hold of the data 
            because CardSystems kept unencrypted card information on its servers 
            - in contravention of the regulations for which Savvis certified it. ","","Dataloss DB","","40000000","2005"
"June 17, 2005","Kent State University","EDU","PORT","","Kent","Ohio","","1,400","1,400","","A laptop containing the names, Social Security numbers, and in some cases birthdays of current and former University employees was stolen from a human resources administrator's car.  ","","Dataloss DB","","1400","2005"
"June 18, 2005","University of Hawai'i","EDU","INSD","","Honolulu","Hawaii","","150,000","150,000","","A former librarian with access to the personal information of students, faculty, staff and patrons was convicted of Social Security fraud.  The former librarian used Social Security information to obtain fraudulent loans.  The University used Social Security numbers to track who checked out library materials. At the time of the press release it was unclear whether any information had been stolen from the University.","","Dataloss DB","","150000","2005"
"June 22, 2005","Eastman Kodak","BSO","PORT","","Rochester","New York","","5,800","5,800","","A password-protected laptop containing former employee names, Social Security numbers, birth dates, and benefits information was stolen from a consultant's car trunk. The consulting company has been identified as Hewitt Associates. Kodak sent letters and offered one-year of credit monitoring services and identity theft insurance covering up to $50,000 in fraud.","","Dataloss DB","","5800","2005"
"June 25, 2005","University of Connecticut  (UCONN)","EDU","HACK","","Storrs","Connecticut","","72,000","72,000","","University officials became aware of an October 26, 2003 hacking incident.  The personal information included Social Security numbers and addresses for students, faculty, and staff.  The University began contacting those affected in June of 2005.","","Dataloss DB","","72000","2005"
"June 28, 2005","Lucas County Children Services","GOV","DISC","","Toledo","Ohio","","900","900","","Data from around 500 former and 400 current employees from as far back as 1991 were sent outside the organization via e-mail.  The data included names, Social Security numbers, and telephone numbers.  Current employees were contacted immediately and letters were sent to former employees.","","Media","","900","2005"
"June 29, 2005","Bank of America","BSF","PORT","","Charlotte","North Carolina","","18,000","18,000","","A laptop containing the names, Social Security numbers, and addresses of customers was stolen from a consultant's car.","","Dataloss DB","","18000","2005"
"June 30, 2005","Ohio State University Medical Center, MTE Consulting","MED","PORT","","Columbus","Ohio","","15,000","15,000","","A laptop containing patient information was stolen from a financial consultant.  MTE Consulting notified OSU medical center a month after the laptop was stolen and OSU sent a brief letter to the affected clients.","","Dataloss DB","","15000","2005"
"July 1, 2005","University of California San Diego","EDU","HACK","","La Jolla","California","","3,300","3,300","","A University server was hacked in April.  The server contained Social Security numbers, driver's license numbers, and credit card numbers from people who attended or worked at UCSD Extension between the time of the incident and 2000.  UCSD contacted those who were affected two months after the incident.","","Dataloss DB","","3300","2005"
"July 6, 2005","City National Bank, Iron Mountain","BSF","PORT","","Los Angeles","California","","","Unknown","","Two tapes containing Social Security numbers, account numbers, and other customer information were lost or stolen during transportation.  The tapes have been missing since April.  City National Bank notified its customers.","","Dataloss DB","","","2005"
"July 7, 2005","Michigan State University","EDU","HACK","","East Lansing","Michigan","","27,000","27,000","","Student information was compromised during an attack on the College of Education server.  The information included Social Security numbers, names, addresses, student courses, and personal identification numbers.  The breach occurred in April and students were emailed in July.","","Dataloss DB","","27000","2005"
"July 12, 2005","University of Southern California (USC)","EDU","DISC","","Los Angeles","California","","270,000","270,000 
            possibly accessed, dozens exposed","","A reporter contacted USC based on an individual's claim to be able to access personal information on college applicants online.  USC removed the site pending investigation and sent letters to affected individuals.","","Security Breach Letter","","270000","2005"
"July 21, 2005","University of Colorado, Boulder","EDU","HACK","","Boulder","Colorado","","49,000","49,000","","Prospective students, current students, staff, faculty and University health care service recipients may have had their data exposed in a campus server breach.  The information included names, Social Security numbers, addresses, student ID numbers, birth dates, and lab test information. The University mailed letters and sent emails to the individuals affected.UPDATE
            (08/20/2005) The number of students affected was increased from an 
            estimate of 42,000 to 49,000.","","Dataloss DB","","49000","2005"
"July 30, 2005","San Diego County Employees Retirement Association","GOV","HACK","","San Diego","California","","33,000","33,000","","Two computers that contained personal information for current and retired San Diego County employees were hacked.  The information included names, addresses, Social Security numbers, and dates of birth.  The San Diego Retirement Association mailed warnings to members.","","Dataloss DB","","33000","2005"
"July 30, 2005","California State University, Dominguez Hills","EDU","HACK","","Carson","California","","9,613","9,613","","Hackers accessed several computers containing personal information such as names and Social Security numbers.  The students who were affected were emailed.","","Dataloss DB","","9613","2005"
"July 31, 2005","California State Polytechnic University (Cal PolyPomona)","EDU","HACK","","Pomona","California","","31,077","31,077","","Hackers gained access to two computers containing names, Social Security numbers and transfer records.  Applicants, current students, current and former faculty, and staff were affected.","","Dataloss DB","","31077","2005"
"August 2, 2005","University of Colorado","EDU","HACK","","Denver","Colorado","","36,000","36,000","","Hackers accessed files containing names, photographs, Social Security numbers, and University meal card information.  Around 7,000 staff members, 29,000 current students, and some former students were affected.","","Dataloss DB","","36000","2005"
"August 9, 2005","Sonoma State University","EDU","HACK","","Rohnert Park","California","","61,709","61,709","","Hackers broke into a computer system and may have accessed the names and Social Security numbers of people who applied, attended, or worked at the University between 1995 and 2002.  University officials attempted to notify those who were affected.","","Dataloss DB","","61709","2005"
"August 9, 2005","University of Utah","EDU","HACK","","Salt Lake City","Utah","","100,000","100,000","","A server containing library archival databases was hacked.  The server included names and Social Security numbers of former University employees.  The University issued a warning that people may try to get personal information by posing as University officials involved in the investigation.","","Dataloss DB","","100000","2005"
"August 10, 2005","University of North Texas","EDU","HACK","","Denton","Texas","","39,000","39,000","","A server containing housing records, financial aid inquiries, and in some cases credit card numbers was hacked.  UNT sent letters to current, former, and prospective students whose information may have been accessed.","","Dataloss DB","","39000","2005"
"August 17, 2005","California State University, Stanislaus","EDU","HACK","","Turlock","California","","900","900","","The names and Social Security numbers of student workers were exposed during a hacker attack.  The student workers were contacted by the University.","","Dataloss DB","","900","2005"
"August 19, 2005","University of Colorado","EDU","HACK","","Denver","Colorado","","49,000","49,000","","A hacker may have gained access to personal information from June of 1999 to May of 2001, and fall of 2003 to summer of 2005.  The information included current and former student names, Social Security numbers, addresses and phone numbers.  The University contacted individuals who were affected.","","Dataloss DB","","49000","2005"
"August 22, 2005","U.S. Air Force","GOV","HACK","","Washington","District Of Columbia","","33,300","33,300","","A hacker used a legitimate user ID and password to access career information, birth dates, and Social Security numbers.  Those affected were notified several months after the breach was discovered.","","Dataloss DB","","33300","2005"
"August 27, 2005","University of Florida, Health Sciences Center, ChartOne","EDU","PORT","","Gainesville","Florida","","3,851","3,851","","A contractor's laptop containing patient names, Social Security numbers, dates of birth, and medical record numbers was stolen.  A letter was sent to the affected patients.","","Dataloss DB","","3851","2005"
"August 30, 2005","JP Morgan Chase & Co.","BSF","PORT","","Dallas","Texas","","","Unknown","","A laptop was stolen on August 8th.  It contained 
            personal and financial account information of customers.  Those affected were contacted.","","Dataloss DB","","","2005"
"August 30, 2005","California State University, Chancellor's Office","EDU","HACK","","Long Beach","California","","154","154","","A computer virus attack exposed names and Social Security numbers. Those affected included two financial aid administrators and 152 students enrolled at various Cal State Universities.  Those affected were contacted.","","Dataloss DB","","154","2005"
"September 2, 2005","Iowa Student Loan","BSF","PORT","","West Des Moines","Iowa","","165,000","165,000","","A compact disk containing 
            personal information, including SSNs, was lost when shipped by private 
            courier.","","Dataloss DB","","165000","2005"
"September 10, 2005","Kent State University","EDU","STAT","","Kent","Ohio","","100,000","100,000","","Five desktop computers were stolen from the locked offices of two deans. Names, Social Security numbers, and grades were on the computers.  The information goes back to 2000 for students and 2002 for instructors.  Affected students and professors were alerted by the University.","","Dataloss DB","","100000","2005"
"September 15, 2005","Miami University","EDU","DISC","","Hamilton","Ohio","","21,762","21,762","","A report containing Social Security numbers and grades of students was accessible online for three years.  The University is attempting to contact those affected via letters and emails.  A graduate alerted the University to the exposure after running a Google.com search of her name.","","Dataloss DB","","21762","2005"
"September 17, 2005","North Fork Bank (now Capital One Bank)","BSF","PORT","","New York","New York","","9,000","9,000","","A laptop containing mortgage data was stolen from a North Fork Bank office on the weekend of July 24 of 2005.  Personal information included names, addresses, and mortgage account numbers.  Affected customers were contacted and offered one year of free credit monitoring services from Equifax.","","Dataloss DB","","9000","2005"
"September 19, 2005","Children's Health Council","NGO","PORT","","San Jose","California","","6,700","5,000 - 6,700","","A tape containing sensitive information was stolen from a Children's Health Council office. The tape contained names, Social Security numbers, and detailed medical information for around 6,000 current and former clients.  Payroll information for 700 current and former employees was also on the tape.  The agency alerted those who may be at risk of identity theft.","","Dataloss DB","","6700","2005"
"September 22, 2005","City University of New York","EDU","DISC","","New York","New York","","771","771","","An unprotected payroll link exposed personal information for Hunter College Campus Schools.  Those affected included 335 Queens College law school students, 265 current workers and 171 former workers at local elementary and high schools.  All affected people were contacted.","","Dataloss DB","","771","2005"
"September 23, 2005","Bank of America","BSF","PORT","","Charlotte","North Carolina","","","Not disclosed","","A laptop was stolen from a Bank of America service provider.  Information such as names, account numbers, routing transit numbers, and credit card numbers were compromised by the theft.  An unspecified number of Visa Buxx users were contacted by Bank of America.","","Dataloss DB","","","2005"
"September 28, 2005","RBC Dain Rauscher","BSF","INSD","","Minneapolis","Minnesota","","100","300,000 households (100 targeted)","","Someone claiming to be a former employee obtained customer names, addresses, tax ID number, birth date and Dain Rauscher account number.  The former employee sent letters to over 100 customers and claimed that their personal information had been sold in retaliation against the company.","","Dataloss DB","","100","2005"
"September 29, 2005","University of Georgia","EDU","HACK","","Athens","Georgia","","1,600","1,600","","A hacker may have accessed the names and Social Security numbers of at least 1,600 people working for the College of Agricultural and Environmental Sciences.  The University is attempting to contact individuals who may have been affected.","","Dataloss DB","","1600","2005"
"October 12, 2005","Ohio State University Medical Center","MED","DISC","","Columbus","Ohio","","2,800","2,800","","Appointment 
            information including Social Security numbers, birth dates, addresses, phone numbers, medical record numbers, reasons for appointments, and physicians was exposed online.","","Security Breach Letter","","2800","2005"
"October 15, 2005","Montclair State University","EDU","DISC","","Montclair","New Jersey","","9,100","9,100","","Names and Social Security numbers of undergraduates were posted online for nearly four months.  An undergraduate alerted the University after running a Google.com search of his name.  The University warned all students of the problem.","","Dataloss DB","","9100","2005"
"October 21, 2005","Wilcox Memorial Hospital","MED","PORT","","Lihue","Hawaii","","130,000","130,000","","A backup computer data drive containing medical record numbers, addresses, names and Social Security numbers of current and former patients was lost.  Letters have been sent to affected patients.","","Dataloss DB","","130000","2005"
"November 1, 2005","University of Tennessee Medical Center","MED","PORT","","Knoxville","Tennessee","","3,800","3,800","","A laptop was stolen from the University's medical billing office.  Personal information lost included names, Social Security numbers and birth dates.  Affected patients were not informed of the theft for nearly two months.","","Dataloss DB","","3800","2005"
"November 4, 2005","Keck School of Medicine, University of Southern California (USC)","EDU","STAT","","Los Angeles","California","","50,000","50,000","","A computer server containing names and Social Security numbers of patients, donors and employees was stolen from a campus computer room.","","Security Breach Letter","","50000","2005"
